orr x0, x1, #0xfff	202c40b2	
orr x0, x1, #0x5555555555555555	20f000b2	
orr x0, x1, #0xffff0000	203c70b2	
orr w0, w1, #0xff	201c0032	
orr w0, w1, #0xf	200c0032	
orr w0, w1, #0x1	20000032	
orr w0, w1, #0xf0f0f0f0	20cc0432	
eor x0, x1, #0xff	201c40d2	
eor x0, x1, #0xf	200c40d2	
eor x0, x1, #0x1	200040d2	
eor x0, x1, #0xfff	202c40d2	
eor x0, x1, #0x5555555555555555	20f000d2	
eor x0, x1, #0xffff0000	203c70d2	
eor w0, w1, #0xff	201c0052	
eor w0, w1, #0xf	200c0052	
eor w0, w1, #0x1	20000052	
eor w0, w1, #0xf0f0f0f0	20cc0452	
ands x0, x1, #0xff	201c40f2	
ands x0, x1, #0xf	200c40f2	
ands x0, x1, #0x1	200040f2	
ands x0, x1, #0xfff	202c40f2	
ands x0, x1, #0x5555555555555555	20f000f2	
ands x0, x1, #0xffff0000	203c70f2	
ands w0, w1, #0xff	201c0072	
ands w0, w1, #0xf	200c0072	
ands w0, w1, #0x1	20000072	
ands w0, w1, #0xf0f0f0f0	20cc0472	
mov x0, #0	000080d2	
mov x5, #0	050080d2	
mov x28, #0	1c0080d2	
mov x0, #1	200080d2	
mov x5, #1	250080d2	
mov x28, #1	3c0080d2	
mov x0, #0x1234	804682d2	
mov x5, #0x1234	854682d2	
mov x28, #0x1234	9c4682d2	
mov x0, #0xffff	e0ff9fd2	
mov x5, #0xffff	e5ff9fd2	
mov x28, #0xffff	fcff9fd2	
mov x0, #-1	00008092	
mov x5, #-1	05008092	
mov x28, #-1	1c008092	
mov x0, #0x10000	2000a0d2	
mov x5, #0x10000	2500a0d2	
mov x28, #0x10000	3c00a0d2	
mov x0, #0x5555555555555555	e0f300b2	
mov x5, #0x5555555555555555	e5f300b2	
mov x28, #0x5555555555555555	fcf300b2	
movz x0, #0x1234	804682d2	
movz x0, #0x1234, lsl #16	8046a2d2	
movz x0, #0x1234, lsl #32	8046c2d2	
